"Datasets","Samples","Group","ExpressedGenes","ShannonDiversity"
"IBD.PRJNA400072_MG","SRR6468641","Healthy",441,5.15961918477057
"IBD.PRJNA400072_MG","SRR6468642","Healthy",274,4.82507485764023
"IBD.PRJNA400072_MG","SRR6468643","Healthy",299,4.71552402488687
"IBD.PRJNA400072_MG","SRR6468644","Healthy",488,5.12399724036337
"IBD.PRJNA400072_MG","SRR6468503","Healthy",413,4.90408102268648
"IBD.PRJNA400072_MG","SRR6468646","Healthy",402,4.604152740048
"IBD.PRJNA400072_MG","SRR6468647","Healthy",447,5.09607701551055
"IBD.PRJNA400072_MG","SRR6468648","Healthy",484,4.79453930977179
"IBD.PRJNA400072_MG","SRR6468649","Healthy",359,4.81909536466658
"IBD.PRJNA400072_MG","SRR6468650","Healthy",473,4.74913525200465
"IBD.PRJNA400072_MG","SRR6468545","Healthy",332,3.96234056785547
"IBD.PRJNA400072_MG","SRR6468546","Healthy",328,4.5937037152055
"IBD.PRJNA400072_MG","SRR6468547","Healthy",348,4.72629163336596
"IBD.PRJNA400072_MG","SRR6468548","Healthy",242,4.58065507379835
"IBD.PRJNA400072_MG","SRR6468541","Healthy",413,4.76442887472395
"IBD.PRJNA400072_MG","SRR6468542","Healthy",429,5.00503670220709
"IBD.PRJNA400072_MG","SRR6468543","Healthy",438,4.72975741272948
"IBD.PRJNA400072_MG","SRR6468544","Healthy",320,4.63954801944414
"IBD.PRJNA400072_MG","SRR6468549","Healthy",321,4.18096307230116
"IBD.PRJNA400072_MG","SRR6468550","Healthy",382,4.62850733187192
"IBD.PRJNA400072_MG","SRR6468578","Healthy",445,4.79078966485407
"IBD.PRJNA400072_MG","SRR6468577","Healthy",477,4.84342925265453
"IBD.PRJNA400072_MG","SRR6468600","UC",323,4.30817736069047
"IBD.PRJNA400072_MG","SRR6468605","UC",474,4.94197460182084
"IBD.PRJNA400072_MG","SRR6468604","Healthy",419,4.87885791800991
"IBD.PRJNA400072_MG","SRR6468632","UC",230,4.44268514397052
"IBD.PRJNA400072_MG","SRR6468631","UC",403,4.57957404570558
"IBD.PRJNA400072_MG","SRR6468628","Healthy",402,5.01560501938989
"IBD.PRJNA400072_MG","SRR6468627","UC",463,5.01429739461382
"IBD.PRJNA400072_MG","SRR6468626","Healthy",421,4.92585427685246
"IBD.PRJNA400072_MG","SRR6468625","Healthy",354,4.83322407332413
"IBD.PRJNA400072_MG","SRR6468680","Healthy",336,4.7159922211514
"IBD.PRJNA400072_MG","SRR6468674","Healthy",358,4.02247436186876
"IBD.PRJNA400072_MG","SRR6468597","Healthy",393,4.94744709281774
"IBD.PRJNA400072_MG","SRR6468598","Healthy",314,4.32462883796044
"IBD.PRJNA400072_MG","SRR6468656","Healthy",334,4.57838500039011
"IBD.PRJNA400072_MG","SRR6468657","Healthy",479,5.08904119227235
"IBD.PRJNA400072_MG","SRR6468658","UC",530,4.81835767477181
"IBD.PRJNA400072_MG","SRR6468659","Healthy",390,4.29573487057163
"IBD.PRJNA400072_MG","SRR6468660","Healthy",346,4.82977190318424
"IBD.PRJNA400072_MG","SRR6468621","Healthy",417,4.62410930520818
"IBD.PRJNA400072_MG","SRR6468622","Healthy",385,4.87447424776786
"IBD.PRJNA400072_MG","SRR6468679","Healthy",424,4.98639137934449
"IBD.PRJNA400072_MG","SRR6468678","Healthy",480,4.94242545239852
"IBD.PRJNA400072_MG","SRR6468681","Healthy",354,4.3622801957636
"IBD.PRJNA400072_MG","SRR6468528","Healthy",489,5.05642799976205
"IBD.PRJNA400072_MG","SRR6468673","Healthy",557,4.95337756605582
"IBD.PRJNA400072_MG","SRR6468698","UC",296,4.91821874348227
"IBD.PRJNA400072_MG","SRR6468699","UC",284,4.64067368666023
"IBD.PRJNA400072_MG","SRR6468696","UC",183,3.9854797718913
"IBD.PRJNA400072_MG","SRR6468697","UC",377,4.64824975727066
"IBD.PRJNA400072_MG","SRR6468695","Healthy",352,4.23896480706354
"IBD.PRJNA400072_MG","SRR6468693","UC",302,4.39117778083945
"IBD.PRJNA400072_MG","SRR6468523","Healthy",515,4.75784494659358
"IBD.PRJNA400072_MG","SRR6468522","Healthy",518,4.80687674363098
"IBD.PRJNA400072_MG","SRR6468524","UC",379,4.7146834458313
"IBD.PRJNA400072_MG","SRR6468530","UC",376,4.83052879572367
"IBD.PRJNA400072_MG","SRR6468529","UC",417,4.89150227248278
"IBD.PRJNA400072_MG","SRR6468564","UC",284,4.50619079277278
"IBD.PRJNA400072_MG","SRR6468624","UC",218,3.47397084437854
"IBD.PRJNA400072_MG","SRR6468562","UC",16,2.7135785408057
"IBD.PRJNA400072_MG","SRR6468589","UC",53,3.66879571314811
"IBD.PRJNA400072_MG","SRR6468588","UC",440,5.02639316486782
"IBD.PRJNA400072_MG","SRR6468587","UC",222,3.85410075727201
"IBD.PRJNA400072_MG","SRR6468594","UC",408,4.87857996872634
"IBD.PRJNA400072_MG","SRR6468593","UC",262,3.99928410615711
"IBD.PRJNA400072_MG","SRR6468567","Healthy",388,4.36291610130566
"IBD.PRJNA400072_MG","SRR6468570","UC",180,4.73640880856783
"IBD.PRJNA400072_MG","SRR6468576","UC",429,4.93965496929733
"IBD.PRJNA400072_MG","SRR6468637","UC",215,4.44236402020106
"IBD.PRJNA400072_MG","SRR6468639","Healthy",367,4.37417225605242
"IBD.PRJNA400072_MG","SRR6468634","UC",397,5.01568231727913
"IBD.PRJNA400072_MG","SRR6468633","UC",339,4.79682596238287
"IBD.PRJNA400072_MG","SRR6468636","UC",605,4.97399799337891
"IBD.PRJNA400072_MG","SRR6468635","UC",491,4.75924542745544
"IBD.PRJNA400072_MG","SRR6468630","UC",537,5.01353583636768
"IBD.PRJNA400072_MG","SRR6468617","Healthy",676,5.25629416109545
"IBD.PRJNA400072_MG","SRR6468615","Healthy",515,4.79375006448529
"IBD.PRJNA400072_MG","SRR6468616","Healthy",616,4.5233620473561
"IBD.PRJNA400072_MG","SRR6468613","Healthy",453,4.86384696459435
"IBD.PRJNA400072_MG","SRR6468614","Healthy",557,4.06064700199494
"IBD.PRJNA400072_MG","SRR6468611","UC",582,5.06136961674656
"IBD.PRJNA400072_MG","SRR6468689","Healthy",449,4.50859539883971
"IBD.PRJNA400072_MG","SRR6468688","UC",587,5.2460980647513
"IBD.PRJNA400072_MG","SRR6468687","Healthy",563,4.48982345852844
"IBD.PRJNA400072_MG","SRR6468686","Healthy",454,4.42999231737609
"IBD.PRJNA400072_MG","SRR6468684","UC",293,4.7270894411219
"IBD.PRJNA400072_MG","SRR6468691","UC",483,4.96446271647975
"IBD.PRJNA400072_MG","SRR6468690","UC",406,4.11680085108316
"IBD.PRJNA400072_MG","SRR6468663","UC",278,3.97770758254961
"IBD.PRJNA400072_MG","SRR6468664","UC",235,3.44232039295352
"IBD.PRJNA400072_MG","SRR6468667","UC",242,4.041013300679
"IBD.PRJNA400072_MG","SRR6468668","UC",383,4.69059684116906
"IBD.PRJNA400072_MG","SRR6468654","UC",387,3.96825538625715
"IBD.PRJNA400072_MG","SRR6468504","UC",220,4.68977000270383
"IBD.PRJNA400072_MG","SRR6468506","UC",346,4.93488492369662
"IBD.PRJNA400072_MG","SRR6468509","UC",259,4.26013603351582
"IBD.PRJNA400072_MG","SRR6468508","UC",342,4.46641021895449
"IBD.PRJNA400072_MG","SRR6468511","UC",302,4.42051663855095
"IBD.PRJNA400072_MG","SRR6468510","UC",427,5.00140211059401
"IBD.PRJNA400072_MG","SRR6468513","UC",243,4.55019013848119
"IBD.PRJNA400072_MG","SRR6468512","UC",360,4.9576123541455
"IBD.PRJNA400072_MG","SRR6468704","UC",270,4.63846811810989
"IBD.PRJNA400072_MG","SRR6468705","UC",237,4.16911196083616
"IBD.PRJNA400072_MG","SRR6468702","UC",352,4.74886787030452
"IBD.PRJNA400072_MG","SRR6468703","UC",200,4.10642295661401
"IBD.PRJNA400072_MG","SRR6468708","UC",320,4.11812873649486
"IBD.PRJNA400072_MG","SRR6468709","Healthy",375,4.35398249334334
"IBD.PRJNA400072_MG","SRR6468706","Healthy",335,4.82572231629128
"IBD.PRJNA400072_MG","SRR6468537","UC",361,4.96795341665926
"IBD.PRJNA400072_MG","SRR6468532","UC",290,4.77573809492714
"IBD.PRJNA400072_MG","SRR6468710","UC",313,4.63204822745917
"IBD.PRJNA400072_MG","SRR6468536","UC",436,5.09255268316626
"IBD.PRJNA400072_MG","SRR6468535","UC",259,4.5570659703661
"IBD.PRJNA400072_MG","SRR6468500","UC",327,4.7923276086147
"IBD.PRJNA400072_MG","SRR6468718","UC",411,4.71385028164609
"IBD.PRJNA400072_MG","SRR6468714","UC",436,5.0695727991747
"IBD.PRJNA400072_MG","SRR6468531","UC",305,4.57116993939677
"IBD.PRJNA400072_MG","SRR6468499","UC",494,5.01808246000549
"IBD.PRJNA400072_MG","SRR6468715","UC",407,4.95525947238649
"IBD.PRJNA400072_MG","SRR6468717","UC",261,4.74633214057308
"IBD.PRJNA400072_MG","SRR6468540","UC",280,4.56845124868975
"IBD.PRJNA400072_MG","SRR6468519","UC",483,4.87991774873589
"IBD.PRJNA400072_MG","SRR6468556","UC",276,4.44294561442503
"IBD.PRJNA400072_MG","SRR6468515","UC",385,4.55186739856121
"IBD.PRJNA400072_MG","SRR6468501","UC",238,3.59896866315691
"IBD.PRJNA400072_MG","SRR6468533","UC",342,4.69943349059167
"IBD.PRJNA400072_MG","SRR6468516","UC",333,4.94936022244049
"IBD.PRJNA400072_MG","SRR6468558","UC",301,4.58925958057803
"IBD.PRJNA400072_MG","SRR6468553","UC",208,4.14822754032661
"IBD.PRJNA400072_MG","SRR6468538","UC",397,4.94712166643485
"IBD.PRJNA400072_MG","SRR6468716","UC",221,4.00833078190785
"IBD.PRJNA759642_MG","SRR15702573","Healthy",123,4.29759974443391
"IBD.PRJNA759642_MG","SRR15702581","UC",68,3.45145787903791
"IBD.PRJNA759642_MG","SRR15702578","UC",114,3.77633727060662
"IBD.PRJNA759642_MG","SRR15702569","Healthy",134,4.27233541221716
"IBD.PRJNA759642_MG","SRR15702580","UC",0,0
"IBD.PRJNA759642_MG","SRR15702572","Healthy",64,3.38851287122668
"IBD.PRJNA759642_MG","SRR15702570","Healthy",141,4.45962072513639
"IBD.PRJNA759642_MG","SRR15702579","UC",122,4.22024829395553
"IBD.PRJNA759642_MG","SRR15702660","Healthy",224,4.57981261980802
"IBD.PRJNA759642_MG","SRR15702565","UC",78,3.03849261810952
"IBD.PRJNA759642_MG","SRR15702550","UC",203,4.3885686052726
"IBD.PRJNA759642_MG","SRR15702533","UC",63,2.40868110079618
"IBD.PRJNA759642_MG","SRR15702637","UC",147,4.3384038860644
"IBD.PRJNA759642_MG","SRR15702658","UC",155,4.24956282864825
"IBD.PRJNA759642_MG","SRR15702647","UC",152,4.24778058808763
"IBD.PRJNA759642_MG","SRR15702626","UC",110,3.92864942331152
"IBD.PRJNA759642_MG","SRR15702625","UC",160,4.09584212261854
"IBD.PRJNA759642_MG","SRR15702624","UC",79,3.7102398693944
"IBD.PRJNA759642_MG","SRR15702575","Healthy",219,4.4432344650615
"IBD.PRJNA759642_MG","SRR15702574","Healthy",194,4.19986781686527
"IBD.PRJNA759642_MG","SRR15702571","Healthy",218,4.43545781921958
"IBD.PRJNA759642_MG","SRR15702623","UC",58,3.48796658576614
"IBD.PRJNA759642_MG","SRR15702622","Healthy",247,4.40567681827604
"IBD.PRJNA759642_MG","SRR15702621","Healthy",222,4.29344655608546
"IBD.PRJNA759642_MG","SRR15702620","Healthy",188,4.34570820787077
"IBD.PRJNA759642_MG","SRR15702618","Healthy",216,4.02074173509826
"IBD.PRJNA759642_MG","SRR15702614","Healthy",184,4.12292556319352
"IBD.PRJNA759642_MG","SRR15702612","Healthy",188,4.43127321828762
"IBD.PRJNA759642_MG","SRR15702610","Healthy",227,4.63905848301846
"IBD.PRJNA759642_MG","SRR15702608","Healthy",183,3.84356405327553
"IBD.PRJNA759642_MG","SRR15702606","Healthy",205,3.59406944389239
"IBD.PRJNA759642_MG","SRR15702604","Healthy",220,3.79826730101787
"IBD.PRJNA759642_MG","SRR15702602","Healthy",169,3.93255033835925
"IBD.PRJNA759642_MG","SRR15702601","Healthy",194,3.93420197740541
"IBD.PRJNA759642_MG","SRR15702600","Healthy",228,3.37355859574968
