gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,dataset,n_total,n_disease,n_Healthy
2061766007_114_+_2061766007.a:rumenHiSeq_NODE_3526914_len_217277_cov_2_999425_51,1,1.24E-17,0.255479924,4.85E-17,1,NA,IBD.PRJNA400072_MG,132,76,56
2156126001_3_+_2156126001.a:2158469716_4,1,1.24E-17,0.255479924,4.85E-17,1,NA,IBD.PRJNA400072_MG,132,76,56
2044078007_3_+_2044078007.a:SPBFG_contig06996_53,1,1.24E-17,0.255479924,4.85E-17,1,NA,IBD.PRJNA400072_MG,132,76,56
2044078007_3_+_2044078007.a:SPBFG_contig15914_190,1,1.24E-17,0.255479924,4.85E-17,1,NA,IBD.PRJNA400072_MG,132,76,56
2044078007_3_+_2044078007.a:SPBFG_contig15914_177,1,1.24E-17,0.255479924,4.85E-17,1,NA,IBD.PRJNA400072_MG,132,76,56
2044078007_3_+_2044078007.a:SPBFG_contig15914_184,1,1.24E-17,0.255479924,4.85E-17,1,NA,IBD.PRJNA400072_MG,132,76,56
2044078007_3_+_2044078007.a:SPBFG_contig15914_174,1,1.24E-17,0.255479924,4.85E-17,1,NA,IBD.PRJNA400072_MG,132,76,56
2209111006_1_+_2209111006.a:2214745216_8,1,1.24E-17,0.255479924,4.85E-17,1,NA,IBD.PRJNA400072_MG,132,76,56
2029527003_1_+_2029527003.a:APTF_contig21264_4,1,1.24E-17,0.255479924,4.85E-17,1,NA,IBD.PRJNA400072_MG,132,76,56
2029527003_1_+_2029527003.a:APTF_contig21264_3,1,1.24E-17,0.255479924,4.85E-17,1,NA,IBD.PRJNA400072_MG,132,76,56
2029527003_3_+_2029527003.a:APTF_contig38515_324,1,1.24E-17,0.255479924,4.85E-17,1,NA,IBD.PRJNA400072_MG,132,76,56
2029527003_3_+_2029527003.a:APTF_contig41355_102,1,1.24E-17,0.255479924,4.85E-17,1,NA,IBD.PRJNA400072_MG,132,76,56
2084038013_1_+_2084038013.a:AglaG_contig21613_8,1,1.24E-17,0.255479924,4.85E-17,1,NA,IBD.PRJNA400072_MG,132,76,56
2084038013_1_+_2084038013.a:AglaG_contig21613_4,1,1.24E-17,0.255479924,4.85E-17,1,NA,IBD.PRJNA400072_MG,132,76,56
2084038013_1_+_2084038013.a:AglaG_contig21613_9,1,1.24E-17,0.255479924,4.85E-17,1,NA,IBD.PRJNA400072_MG,132,76,56
2084038013_1_+_2084038013.a:AglaG_contig19083_2,1.015151515,0.05062607,0.253117161,0.20001042,0.841472432,NA,IBD.PRJNA400072_MG,132,76,56
2084038013_1_+_2084038013.a:AglaG_contig21613_5,1,1.24E-17,0.255479924,4.85E-17,1,NA,IBD.PRJNA400072_MG,132,76,56
2084038013_1_+_2084038013.a:AglaG_contig18476_8,1,1.24E-17,0.255479924,4.85E-17,1,NA,IBD.PRJNA400072_MG,132,76,56
2199352035_6_+_2199352035.a:2207103247_6,1,1.24E-17,0.255479924,4.85E-17,1,NA,IBD.PRJNA400072_MG,132,76,56
2199352010_2_+_2199352010.a:TFO_HY__Contig_1049_20,1,1.24E-17,0.255479924,4.85E-17,1,NA,IBD.PRJNA400072_MG,132,76,56
